cluster_idx	average mz	average RT	average charge	num spectra
1377	923.256	-1	1.09999e+08	15
1379	923.013	-1	8.24995e+08	2
1382	926.2	-1	1.64999e+08	10
1384	928.109	-1	2.35713e+08	7
1386	929.185	-1	1.83332e+08	9
1387	930.486	-1	2.35713e+08	7
1389	930.919	-1	8.24995e+08	2
1390	931.603	-1	4.12498e+08	4
1393	933.366	-1	3.29998e+08	5
1394	934.433	-1	5.49997e+08	3
1396	937.756	-1	2.35713e+08	7
1397	939.114	-1	3.29998e+08	5
1398	939.681	-1	1.49999e+08	11
1401	941.009	-1	1.26922e+08	13
1407	941.849	-1	5.49997e+08	3
1409	943.747	-1	1.03124e+08	16
1412	945.233	-1	8.24995e+08	2
1413	946.998	-1	3.29998e+08	5
1417	949.784	-1	5.49997e+08	3
1418	951.884	-1	2.06249e+08	8
1420	953.235	-1	4.12498e+08	4
1421	954.596	-1	2.35713e+08	7
1422	955.141	-1	8.24995e+08	2
1427	957.501	-1	4.12498e+08	4
1428	959.255	-1	2.35713e+08	7
1431	959.971	-1	5.49997e+08	3
1433	961.674	-1	5.49997e+08	3
1435	963.337	-1	2.74998e+08	6
1436	964.254	-1	5.49997e+08	3
